,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_2_AutoML_20190417_121910,91810016615.74817,303001.67757909885,91810016615.74817,171920.02138918298,0.20480460338588813
1,GBM_3_AutoML_20190417_121910,91837965680.50447,303047.7943831707,91837965680.50447,171935.35710937713,0.2051964672800259
2,GBM_1_AutoML_20190417_121910,92281438638.03113,303778.60134978424,92281438638.03113,172470.32667519205,0.20501235515996988
3,GBM_4_AutoML_20190417_121910,92941989585.08893,304863.88698087697,92941989585.08893,172690.17848539256,0.2052866139792852
4,GBM_5_AutoML_20190417_121910,96779902948.31964,311094.6848602843,96779902948.31964,175250.26062800427,0.20807920294355312
5,DRF_1_AutoML_20190417_121910,97522054154.86052,312285.21283413423,97522054154.86052,174325.45724070034,0.2068104171515815
6,DeepLearning_grid_1_AutoML_20190417_121910_model_2,97626933748.89986,312453.09047743445,97626933748.89986,181825.28019901933,0.22061048113669102
7,DeepLearning_1_AutoML_20190417_121910,105193805403.09192,324335.9452837319,105193805403.09192,186824.95962673984,
8,XRT_1_AutoML_20190417_121910,108518458154.02534,329421.39905298396,108518458154.02534,187737.0641142971,0.22403983550666529
9,GBM_grid_1_AutoML_20190417_121910_model_2,108594510092.19923,329536.81143720384,108594510092.19923,196018.9049818997,
10,DeepLearning_grid_1_AutoML_20190417_121910_model_1,120957438218.73155,347789.35897857987,120957438218.73155,193697.4802408879,
11,GBM_grid_1_AutoML_20190417_121910_model_3,137411861959.76065,370691.05999438494,137411861959.76065,227275.40937609805,0.275108291426228
12,DeepLearning_grid_1_AutoML_20190417_121910_model_3,156481662213.59454,395577.6310834506,156481662213.59454,249443.7907443451,0.3020825336004653
13,GBM_grid_1_AutoML_20190417_121910_model_1,181926614954.2368,426528.5628820616,181926614954.2368,272112.498811558,
14,StackedEnsemble_AllModels_AutoML_20190417_121910,412365184866.9099,642156.6669177468,412365184866.9099,449592.94802971405,0.5155950472016962
15,StackedEnsemble_BestOfFamily_AutoML_20190417_121910,420694519379.7671,648609.6818424523,420694519379.7671,454611.3853448624,0.5212348742272135
16,GLM_grid_1_AutoML_20190417_121910_model_1,424342881455.3568,651416.0586409862,424342881455.3568,456793.93580937217,0.5237128734086068
