,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_grid_1_AutoML_20190419_190006_model_7,90361742031.22093,300602.2987790029,90361742031.22093,170226.93659515496,0.203240080903834
1,GBM_4_AutoML_20190419_190006,90932577608.09927,301550.2903465677,90932577608.09927,170770.3894637638,0.20359363093893346
2,GBM_grid_1_AutoML_20190419_190006_model_6,91832794692.02693,303039.2626245433,91832794692.02693,171230.0169563684,0.20557806690031108
3,GBM_2_AutoML_20190419_190006,91889077632.21616,303132.11250577884,91889077632.21616,171956.64111643206,0.20474796314006552
4,GBM_grid_1_AutoML_20190419_190006_model_8,92262068136.8469,303746.7170799495,92262068136.8469,171426.1116340987,0.2055845174641703
5,GBM_3_AutoML_20190419_190006,92794040615.67136,304621.1427587904,92794040615.67136,172327.17438336604,0.2047260481405467
6,GBM_1_AutoML_20190419_190006,93246088200.76576,305362.22458052303,93246088200.76576,172481.65689787685,0.2060820617975578
7,GBM_grid_1_AutoML_20190419_190006_model_9,93553951114.59433,305865.9038117755,93553951114.59433,173229.98210143356,0.2063625058066344
8,GBM_5_AutoML_20190419_190006,96280800938.08044,310291.47738550673,96280800938.08044,175469.63277391993,0.20854715778831395
9,GBM_grid_1_AutoML_20190419_190006_model_5,97463589984.3649,312191.59178998537,97463589984.3649,178297.8658747221,0.2119836718967064
10,DRF_1_AutoML_20190419_190006,98482846933.51497,313819.7682325238,98482846933.51497,175665.1062049917,0.20818506593228125
11,GBM_grid_1_AutoML_20190419_190006_model_1,98649315323.8714,314084.8855387209,98649315323.8714,179876.7119938119,0.21453356431786366
12,GBM_grid_1_AutoML_20190419_190006_model_2,99034691307.11183,314697.77772827033,99034691307.11183,179176.29809064363,0.21344251637729572
13,DeepLearning_grid_1_AutoML_20190419_190006_model_3,100822151933.6134,317525.0414276225,100822151933.6134,176814.60511608876,
14,DeepLearning_1_AutoML_20190419_190006,105344763520.88284,324568.5806126077,105344763520.88284,188586.1161291296,
15,XRT_1_AutoML_20190419_190006,106865354421.24028,326902.66811581736,106865354421.24028,184693.05944558865,0.22022984623914416
16,GBM_grid_1_AutoML_20190419_190006_model_4,117796062587.37794,343214.30999796314,117796062587.37794,203641.9743189145,
17,GBM_grid_1_AutoML_20190419_190006_model_10,131667039936.23836,362859.5319627671,131667039936.23836,211064.55621090086,0.2567645159403649
18,DeepLearning_grid_1_AutoML_20190419_190006_model_1,133206355757.2042,364974.4590477589,133206355757.2042,213626.5294513753,
19,GBM_grid_1_AutoML_20190419_190006_model_3,150703506089.9943,388205.4946674432,150703506089.9943,234823.3810522584,0.28616118968298165
20,DeepLearning_grid_1_AutoML_20190419_190006_model_2,299486620414.9715,547253.7075388082,299486620414.9715,485897.2900191122,0.5302397645343304
21,StackedEnsemble_AllModels_AutoML_20190419_190006,406239285865.95935,637369.0342854438,406239285865.95935,445864.2562538322,0.5114343120218922
22,StackedEnsemble_BestOfFamily_AutoML_20190419_190006,420701503251.2681,648615.0655444785,420701503251.2681,454615.80208578653,0.5212388187152169
23,GLM_grid_1_AutoML_20190419_190006_model_1,424342881455.3568,651416.0586409862,424342881455.3568,456793.93580937217,0.5237128734086068
