,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_1_AutoML_20190417_092107,91480098198.52124,302456.7707929866,91480098198.52124,171897.6913262141,0.2060783940548172
1,GBM_grid_1_AutoML_20190417_092107_model_1,91580961247.10696,302623.4644688131,91580961247.10696,171073.44897693905,0.20361092051015856
2,GBM_1_AutoML_20190417_103626,92515958471.4362,304164.36094887287,92515958471.4362,172391.02391238452,0.20572031491132825
3,GBM_2_AutoML_20190417_092107,93072106068.22427,305077.2132890693,93072106068.22427,172841.6196656181,0.20612559355544927
4,GBM_2_AutoML_20190417_103626,93500292355.98012,305778.17508118553,93500292355.98012,173021.58894043285,0.20653646372430795
5,GBM_4_AutoML_20190417_092107,93537117695.53027,305838.3849282661,93537117695.53027,173089.09008264734,0.20613169593365308
6,GBM_3_AutoML_20190417_103626,93744501909.25308,306177.2393716638,93744501909.25308,172498.36727053663,0.20573084410016246
7,GBM_3_AutoML_20190417_092107,93761420493.05254,306204.86686702503,93761420493.05254,172663.68526048318,0.2056035686225877
8,GBM_4_AutoML_20190417_103626,94047409536.24792,306671.5010173719,94047409536.24792,172980.41334324615,0.20580525789198292
9,GBM_grid_1_AutoML_20190417_103626_model_1,94531088500.4876,307459.08427055395,94531088500.4876,173773.67839057653,0.20675081379664947
10,GBM_5_AutoML_20190417_103626,95291028344.39224,308692.4494450621,95291028344.39224,174518.75454209396,0.20770012073426136
11,GBM_5_AutoML_20190417_092107,96319619456.50992,310354.0227812585,96319619456.50992,174895.2823342779,0.20788241233908586
12,DRF_1_AutoML_20190417_103626,97308589006.03754,311943.24645043607,97308589006.03754,174490.48915588178,0.20674633268236897
13,DRF_1_AutoML_20190417_092107,97669759273.64482,312521.61409036146,97669759273.64482,174488.03401025495,0.2069728614342895
14,XRT_1_AutoML_20190417_092107,104426828689.77213,323151.4021163642,104426828689.77213,183510.12047395,0.2187923407294353
15,DeepLearning_1_AutoML_20190417_092107,105970628008.99036,325531.3011201693,105970628008.99036,195930.88954612066,
16,XRT_1_AutoML_20190417_103626,106961829863.02574,327050.1947148568,106961829863.02574,185869.59173736934,0.221158054223596
17,DeepLearning_1_AutoML_20190417_103626,107590011961.01233,328009.1644466848,107590011961.01233,192264.9170442764,0.2371767620469508
18,GBM_grid_1_AutoML_20190417_103626_model_3,110434059526.27023,332316.20412834256,110434059526.27023,193821.6853040956,0.2329767008359324
19,GBM_grid_1_AutoML_20190417_092107_model_2,118243485543.22694,343865.5050208249,118243485543.22694,206801.6492434873,0.25043214688368004
20,DeepLearning_grid_1_AutoML_20190417_092107_model_1,119620230641.54843,345861.5772842489,119620230641.54843,196446.32164084067,
21,DeepLearning_grid_1_AutoML_20190417_092107_model_3,125054868040.5154,353630.9772071946,125054868040.5154,218251.9169487201,0.26575576088914465
22,DeepLearning_grid_1_AutoML_20190417_092107_model_2,128045163518.88527,357833.98876977194,128045163518.88527,194806.00376884761,
23,GBM_grid_1_AutoML_20190417_103626_model_2,142376385305.24838,377327.9545769812,142376385305.24838,243835.4651984725,
24,DeepLearning_grid_1_AutoML_20190417_103626_model_2,159481568927.52786,399351.4353643015,159481568927.52786,255172.53095947692,
25,GBM_grid_1_AutoML_20190417_103626_model_4,164224364202.27408,405246.0539009283,164224364202.27408,258495.6192022652,0.3116620270807791
26,DeepLearning_grid_1_AutoML_20190417_103626_model_1,250798380105.49356,500797.74371046596,250798380105.49356,203347.8913170436,0.23907890661651066
27,StackedEnsemble_AllModels_AutoML_20190417_092107,412976858665.8951,642632.7556745728,412976858665.8951,449940.0916567117,0.5159944524366501
28,StackedEnsemble_BestOfFamily_AutoML_20190417_092107,420698097772.948,648612.4403470443,420698097772.948,454595.6826214654,0.5212275882415631
29,GLM_grid_1_AutoML_20190417_103626_model_1,424342881455.3568,651416.0586409862,424342881455.3568,456793.93580937217,0.5237128734086068
30,GLM_grid_1_AutoML_20190417_092107_model_1,424342881455.3568,651416.0586409862,424342881455.3568,456793.93580937217,0.5237128734086068
