Model_Name,weights_column,offset_column,fold_column,fold_assessment,stopping_rounds,max_runtime_secs,stopping_metric,stopping_tolerance,balance_classes,class_sampling_factors,max_after_balance_size,ntrees,max_depth,min_rows,nbins,nbins_top_level,nbins_cats,seed,sample_rate,sample_rate_per_class,col_sample_rate_per_tree,col_sample_rate_change_per_level,min_split_improvement,histogram_type,learn_rate,learn_rate_annealing,col_sample_rate,max_abs_leafnode_pred,pred_noise_bandwidth,distribution,tweedie_power,quantile_alpha,huber_alpha,categorical_encoding,rmse
GBM_4_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,3.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,302758.3971
GBM_2_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,3.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303155.8825
GBM_3_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,3.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303650.1031
GBM_1_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,3.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,305788.113
GBM_5_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,3.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,311135.0283
GBM_grid_1_AutoML_20190416_233703_model_1,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,318,5,100,20,1024,1024,3.17E+18,0.9,NULL,0.7,1,1.00E-05,AUTO,0.001,1,1,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,544272.2022
GBM_1_AutoML_20190417_092107,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,62,15,100,20,1024,1024,7.37E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,302456.7708
GBM_grid_1_AutoML_20190417_092107_model_1,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,82,16,30,20,1024,1024,5.24E+18,0.8,NULL,0.7,1,0.0001,AUTO,0.1,1,0.4,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,302623.4645
GBM_1_AutoML_20190417_103626,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,64,15,100,20,1024,1024,4.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,304164.3609
GBM_2_AutoML_20190417_092107,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,62,15,100,20,1024,1024,7.37E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,305077.2133
GBM_2_AutoML_20190417_103626,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,64,15,100,20,1024,1024,4.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,305778.1751
GBM_4_AutoML_20190417_092107,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,62,15,100,20,1024,1024,7.37E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,305838.3849
GBM_3_AutoML_20190417_103626,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,64,15,100,20,1024,1024,4.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,306177.2394
GBM_3_AutoML_20190417_092107,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,62,15,100,20,1024,1024,7.37E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,306204.8669
GBM_4_AutoML_20190417_103626,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,64,15,100,20,1024,1024,4.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,306671.501
GBM_grid_1_AutoML_20190417_103626_model_1,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,71,10,10,20,1024,1024,-8.35E+18,0.9,NULL,1,1,1.00E-05,AUTO,0.08,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,307459.0843
GBM_5_AutoML_20190417_103626,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,64,15,100,20,1024,1024,4.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,308692.4494
GBM_5_AutoML_20190417_092107,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,62,15,100,20,1024,1024,7.37E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,310354.0228
GBM_grid_1_AutoML_20190417_103626_model_3,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,596,4,10,20,1024,1024,-1.72E+18,0.7,NULL,0.7,1,0.0001,AUTO,0.005,1,1,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,332316.2041
GBM_grid_1_AutoML_20190417_092107_model_2,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,139,13,5,20,1024,1024,7.12E+18,0.8,NULL,1,1,1.00E-05,AUTO,0.01,1,1,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,343865.505
GBM_grid_1_AutoML_20190417_103626_model_2,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,30,9,100,20,1024,1024,6.39E+18,0.7,NULL,1,1,1.00E-05,AUTO,0.8,1,0.4,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,377327.9546
GBM_grid_1_AutoML_20190417_103626_model_4,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,167,10,10,20,1024,1024,5.33E+18,0.9,NULL,1,1,0.0001,AUTO,0.005,1,1,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,405246.0539
GBM_2_AutoML_20190417_121910,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,63,15,100,20,1024,1024,-1.59E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303001.6776
GBM_3_AutoML_20190417_121910,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,63,15,100,20,1024,1024,-1.59E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303047.7944
GBM_1_AutoML_20190417_121910,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,63,15,100,20,1024,1024,-1.59E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303778.6013
GBM_4_AutoML_20190417_121910,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,63,15,100,20,1024,1024,-1.59E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,304863.887
