,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,GBM_3_AutoML_20190419_193106,91749970501.46332,302902.5759241135,91749970501.46332,171672.02089383118,0.20416637436130694
1,GBM_1_AutoML_20190419_193106,92075848687.33922,303440.02486049733,92075848687.33922,171662.8222199723,0.20556859047262574
2,GBM_2_AutoML_20190419_193106,92939536163.57707,304859.8631561345,92939536163.57707,172467.23034967974,0.20537484796160865
3,GBM_grid_1_AutoML_20190419_193106_model_6,93225636544.6767,305328.7352095716,93225636544.6767,172156.96738702478,0.20550314197079145
4,GBM_4_AutoML_20190419_193106,93275231583.44513,305409.9402171533,93275231583.44513,172304.85819897678,0.2051555933849208
5,GBM_grid_1_AutoML_20190419_193106_model_2,93411597742.267,305633.10969570524,93411597742.267,172939.11429941823,0.20783988099796305
6,GBM_grid_1_AutoML_20190419_193106_model_7,94126639413.17424,306800.65093342646,94126639413.17424,172213.31005194533,0.20485984997577786
7,GBM_grid_1_AutoML_20190419_193106_model_3,95124233230.47293,308422.1672164193,95124233230.47293,175192.41400901007,0.2143558902077572
8,GBM_5_AutoML_20190419_193106,96285501480.72278,310299.0516916266,96285501480.72278,174727.44769004086,0.2071461838440528
9,GBM_grid_1_AutoML_20190419_193106_model_1,96808265767.003,311140.2670292018,96808265767.003,177760.09450143948,0.2120763819525908
10,DRF_1_AutoML_20190419_193106,99888210954.4848,316050.9625906632,99888210954.4848,177249.31834437497,0.21008329380490146
11,DeepLearning_1_AutoML_20190419_193106,104659488760.81247,323511.18799944536,104659488760.81247,186334.15911344805,
12,GBM_grid_1_AutoML_20190419_193106_model_5,109705300194.93877,331217.904399715,109705300194.93877,190926.67994461075,0.22734085369164
13,DeepLearning_grid_1_AutoML_20190419_193106_model_1,110176987363.83746,331929.1902858763,110176987363.83746,187096.5974332382,0.2224585420772909
14,XRT_1_AutoML_20190419_193106,111342515795.1805,333680.2598224541,111342515795.1805,188262.85654319808,0.22412242307242286
15,DeepLearning_grid_1_AutoML_20190419_193106_model_2,113696269424.76324,337188.77416776976,113696269424.76324,191605.13461982235,
16,GBM_grid_1_AutoML_20190419_193106_model_4,134918450231.53893,367312.4694746135,134918450231.53893,221059.46409984387,0.269377231144368
17,GBM_grid_1_AutoML_20190419_193106_model_8,141214241989.8154,375784.8346990807,141214241989.8154,230758.4952624007,0.28144071192937203
18,DeepLearning_grid_1_AutoML_20190419_193106_model_3,276567627350.6348,525896.9740839311,276567627350.6348,440768.5766620394,0.5287779764436848
19,GBM_grid_1_AutoML_20190419_193106_model_9,331043066274.31866,575363.4210430123,331043066274.31866,394967.6675167486,0.4571919735615578
20,StackedEnsemble_AllModels_AutoML_20190419_193106,407149699023.6988,638082.8308485496,407149699023.6988,446430.1809471285,0.5120634701494512
21,StackedEnsemble_BestOfFamily_AutoML_20190419_193106,420728091445.0468,648635.5613478549,420728091445.0468,454606.8142967079,0.5212422227143821
22,GLM_grid_1_AutoML_20190419_193106_model_1,424342881455.3568,651416.0586409862,424342881455.3568,456793.93580937217,0.5237128734086068
